"aom.cc;";"61.191.188.142;"
"wearable-computing.cn;";"180.186.1.140;"
"cdshengjie.com;";"118.123.9.20;"
"ksgym.cn;ksgym.com;cdatpt.com;bestg.cn;";"111;"
